settings_language,언어
settings_look_sensitivity,마우스 감도
settings_invert_vertical_view,수직 반전
settings_master_volume,전체 음량
settings_background_music,배경 음악
settings_sound_effect,효과음
confirm_button,확인
cancel_button,취소
new_game_button,새 게임
continue_button,이어서 하기
settings_button,설정
exit_game_button,나가기
restart_checkpoint_button,마지막 체크포인트에서 다시 시작
return_game_button,게임으로 돌아가기
exit_menu_button,메뉴로 나가기
credits_button,Credits
quest_1000,Escape Facility
quest_1001,Hack and Heist Body
quest_1002,"Press [E] to throw Shuriken<br>When gauge is full\, press [Q] to heist body"
quest_1003,Required hacking gauge are different depend on Piece's type
quest_1005,서버에 데이터 업로드
quest_1006,Interact the Console
quest_1007,Reach the outside
quest_1008,Press [Right Mouse] to use 'Piece's' unique ability<br>You can check remaining amount of ability gauge
quest_1009,You can use dash by press [Shift]<br>You can check remaining amount of dash gauge 
quest_1010,Security Camera will alarm your current body to other 'Pieces' nearby
quest_1011,You can hack 'Rook' after destroy it's shield
quest_1012,Find the Way Out
quest_1013,Survive
quest_1016,Avoid and Hack the Console
quest_1017,Escape from Prison
notify_2000,Intrude Main Server
notify_2002,Through the Barricade
notify_2003,Find the Back Door
notify_2004,By hacking the Shimmering Pads with Shuriken you can activate or deactivate the way you need
notify_2006,Hold the Position
notify_2007,Find Queen
notify_3000,Kill the Queen
notify_3001,Find the Queen's Server
notify_3002,Deactivate Server(0/3)
notify_3003,Deactivate Server(1/3)
notify_3004,Deactivate Server(2/3)
notify_3005,Deactivate Server(3/3)